n,method,seed,accuracy
1,OfflineRL,4,0.522759
1,OfflineRL,5,0.558396
1,OfflineRL,6,0.531553
1,OfflineRL,7,0.537106
1,OfflineRL,8,0.554341
1,OfflineRL,9,0.538542
1,OfflineRL,10,0.571917
1,OfflineRL,11,0.522019
1,OfflineRL,12,0.510656
1,OfflineRL,13,0.532855
1,OfflineRL,14,0.511354
1,OfflineRL,15,0.544695
1,OfflineRL,16,0.522779
1,OfflineRL,17,0.543818
1,OfflineRL,18,0.543564
1,OfflineRL,19,0.504721
2,OfflineRL,0,0.556157
2,OfflineRL,1,0.505613
2,OfflineRL,2,0.544463
2,OfflineRL,3,0.529866
2,OfflineRL,4,0.557695
2,OfflineRL,5,0.536624
2,OfflineRL,6,0.535662
2,OfflineRL,7,0.539294
2,OfflineRL,8,0.512283
2,OfflineRL,9,0.536362
2,OfflineRL,10,0.496816
2,OfflineRL,11,0.529597
2,OfflineRL,12,0.499911
2,OfflineRL,13,0.535102
2,OfflineRL,14,0.520792
2,OfflineRL,15,0.536602
2,OfflineRL,16,0.540238
2,OfflineRL,17,0.531132
2,OfflineRL,18,0.563744
2,OfflineRL,19,0.512047
3,OfflineRL,0,0.539513
3,OfflineRL,1,0.553366
3,OfflineRL,2,0.562411
3,OfflineRL,3,0.534215
3,OfflineRL,4,0.482719
3,OfflineRL,5,0.544361
3,OfflineRL,6,0.527554
3,OfflineRL,7,0.527963
3,OfflineRL,8,0.553023
3,OfflineRL,9,0.529343
3,OfflineRL,10,0.520774
3,OfflineRL,11,0.526789
3,OfflineRL,12,0.544180
3,OfflineRL,13,0.506365
3,OfflineRL,14,0.508748
3,OfflineRL,15,0.523155
3,OfflineRL,16,0.534399
3,OfflineRL,17,0.540315
3,OfflineRL,18,0.499555
3,OfflineRL,19,0.541253
4,OfflineRL,0,0.518806
4,OfflineRL,1,0.557479
4,OfflineRL,2,0.516528
4,OfflineRL,3,0.532133
4,OfflineRL,4,0.551811
4,OfflineRL,5,0.559365
4,OfflineRL,6,0.535345
4,OfflineRL,7,0.532296
4,OfflineRL,8,0.535474
4,OfflineRL,9,0.525094
4,OfflineRL,10,0.562842
4,OfflineRL,11,0.523886
4,OfflineRL,12,0.571529
4,OfflineRL,13,0.547830
4,OfflineRL,14,0.528497
4,OfflineRL,15,0.514880
4,OfflineRL,16,0.537868
4,OfflineRL,17,0.528389
4,OfflineRL,18,0.521206
4,OfflineRL,19,0.538742
5,OfflineRL,0,0.535154
5,OfflineRL,1,0.525935
5,OfflineRL,2,0.513497
5,OfflineRL,3,0.524350
5,OfflineRL,4,0.530048
5,OfflineRL,5,0.524059
5,OfflineRL,6,0.523809
5,OfflineRL,7,0.520651
5,OfflineRL,8,0.523576
5,OfflineRL,9,0.581681
5,OfflineRL,10,0.556267
5,OfflineRL,11,0.509075
5,OfflineRL,12,0.537617
5,OfflineRL,13,0.558212
5,OfflineRL,14,0.517700
5,OfflineRL,15,0.559660
5,OfflineRL,16,0.521736
5,OfflineRL,17,0.551440
5,OfflineRL,18,0.536187
5,OfflineRL,19,0.529347
6,OfflineRL,0,0.545144
6,OfflineRL,1,0.542000
6,OfflineRL,2,0.503881
6,OfflineRL,3,0.544059
6,OfflineRL,4,0.553696
6,OfflineRL,5,0.527232
6,OfflineRL,6,0.502814
6,OfflineRL,7,0.510591
6,OfflineRL,8,0.542826
6,OfflineRL,9,0.532083
6,OfflineRL,10,0.553618
6,OfflineRL,11,0.549638
6,OfflineRL,12,0.545921
6,OfflineRL,13,0.542060
6,OfflineRL,14,0.536395
6,OfflineRL,15,0.503272
6,OfflineRL,16,0.530978
6,OfflineRL,17,0.539121
6,OfflineRL,18,0.532666
6,OfflineRL,19,0.542005
8,OfflineRL,0,0.567566
8,OfflineRL,1,0.507590
8,OfflineRL,2,0.560187
8,OfflineRL,3,0.544402
8,OfflineRL,4,0.533036
8,OfflineRL,5,0.538329
8,OfflineRL,6,0.554887
8,OfflineRL,7,0.543220
8,OfflineRL,8,0.544840
8,OfflineRL,9,0.524779
8,OfflineRL,10,0.546671
8,OfflineRL,11,0.546861
8,OfflineRL,12,0.534742
8,OfflineRL,13,0.530494
8,OfflineRL,14,0.526887
8,OfflineRL,15,0.500975
8,OfflineRL,16,0.503258
8,OfflineRL,17,0.531953
8,OfflineRL,18,0.541247
8,OfflineRL,19,0.538076
10,OfflineRL,0,0.527290
10,OfflineRL,1,0.494536
10,OfflineRL,2,0.543365
10,OfflineRL,3,0.537669
10,OfflineRL,4,0.551805
10,OfflineRL,5,0.543760
10,OfflineRL,6,0.533223
10,OfflineRL,7,0.515542
10,OfflineRL,8,0.501115
10,OfflineRL,9,0.555022
10,OfflineRL,10,0.519048
10,OfflineRL,11,0.534086
10,OfflineRL,12,0.529195
10,OfflineRL,13,0.541608
10,OfflineRL,14,0.533284
10,OfflineRL,15,0.523155
10,OfflineRL,16,0.518511
10,OfflineRL,17,0.538290
10,OfflineRL,18,0.508679
10,OfflineRL,19,0.510818
12,OfflineRL,0,0.522243
12,OfflineRL,1,0.548448
12,OfflineRL,2,0.511944
12,OfflineRL,3,0.540680
12,OfflineRL,4,0.532904
12,OfflineRL,5,0.523848
12,OfflineRL,6,0.530997
12,OfflineRL,7,0.510472
12,OfflineRL,8,0.542767
12,OfflineRL,9,0.579119
12,OfflineRL,10,0.512021
12,OfflineRL,11,0.529514
12,OfflineRL,12,0.516220
12,OfflineRL,13,0.539668
12,OfflineRL,14,0.514558
12,OfflineRL,15,0.537181
12,OfflineRL,16,0.556590
12,OfflineRL,17,0.532474
12,OfflineRL,18,0.518060
12,OfflineRL,19,0.500292
0,DiagonalERM,0,0.506984
0,DiagonalERM,1,0.514887
0,DiagonalERM,2,0.527011
0,DiagonalERM,3,0.511522
0,DiagonalERM,4,0.497819
0,DiagonalERM,5,0.520384
0,DiagonalERM,6,0.508688
0,DiagonalERM,7,0.511783
0,DiagonalERM,8,0.502258
0,DiagonalERM,9,0.515489
0,DiagonalERM,10,0.490898
0,DiagonalERM,11,0.535889
0,DiagonalERM,12,0.490294
0,DiagonalERM,13,0.519476
0,DiagonalERM,14,0.509538
0,DiagonalERM,15,0.522671
0,DiagonalERM,16,0.518783
0,DiagonalERM,17,0.541458
0,DiagonalERM,18,0.499135
0,DiagonalERM,19,0.515032
1,DiagonalERM,0,0.499241
1,DiagonalERM,1,0.479450
1,DiagonalERM,2,0.507552
1,DiagonalERM,3,0.524705
1,DiagonalERM,4,0.533508
1,DiagonalERM,5,0.489526
1,DiagonalERM,6,0.514356
1,DiagonalERM,7,0.523506
1,DiagonalERM,8,0.512968
1,DiagonalERM,9,0.501373
1,DiagonalERM,10,0.503715
1,DiagonalERM,11,0.503824
1,DiagonalERM,12,0.530326
1,DiagonalERM,13,0.498079
1,DiagonalERM,14,0.501199
1,DiagonalERM,15,0.529220
1,DiagonalERM,16,0.502038
1,DiagonalERM,17,0.521523
1,DiagonalERM,18,0.503765
1,DiagonalERM,19,0.500127
2,DiagonalERM,0,0.521769
2,DiagonalERM,1,0.509113
2,DiagonalERM,2,0.502881
2,DiagonalERM,3,0.499739
2,DiagonalERM,4,0.517986
2,DiagonalERM,5,0.536864
2,DiagonalERM,6,0.526789
2,DiagonalERM,7,0.495133
2,DiagonalERM,8,0.535618
2,DiagonalERM,9,0.507576
2,DiagonalERM,10,0.525383
2,DiagonalERM,11,0.517882
2,DiagonalERM,12,0.508327
2,DiagonalERM,13,0.532069
2,DiagonalERM,14,0.525445
2,DiagonalERM,15,0.509394
2,DiagonalERM,16,0.515044
2,DiagonalERM,17,0.520828
2,DiagonalERM,18,0.515427
2,DiagonalERM,19,0.536731
3,DiagonalERM,0,0.501918
3,DiagonalERM,1,0.513339
3,DiagonalERM,2,0.529698
3,DiagonalERM,3,0.547734
3,DiagonalERM,4,0.523820
3,DiagonalERM,5,0.540147
3,DiagonalERM,6,0.495861
