n,method,seed,accuracy
3,Probe+LR (OED),11,0.804511
3,Probe+LR (OED),12,0.827595
3,Probe+LR (OED),13,0.838578
3,Probe+LR (OED),14,0.833395
3,Probe+LR (OED),15,0.816672
3,Probe+LR (OED),16,0.810957
3,Probe+LR (OED),17,0.781597
3,Probe+LR (OED),18,0.785454
3,Probe+LR (OED),19,0.845102
4,Probe+LR (OED),0,0.840452
4,Probe+LR (OED),1,0.885665
4,Probe+LR (OED),2,0.894354
4,Probe+LR (OED),3,0.846670
4,Probe+LR (OED),4,0.878001
4,Probe+LR (OED),5,0.859576
4,Probe+LR (OED),6,0.882920
4,Probe+LR (OED),7,0.835157
4,Probe+LR (OED),8,0.862238
4,Probe+LR (OED),9,0.874412
4,Probe+LR (OED),10,0.837582
4,Probe+LR (OED),11,0.852292
4,Probe+LR (OED),12,0.858004
4,Probe+LR (OED),13,0.885795
4,Probe+LR (OED),14,0.879385
4,Probe+LR (OED),15,0.857970
4,Probe+LR (OED),16,0.860909
4,Probe+LR (OED),17,0.878490
4,Probe+LR (OED),18,0.855149
4,Probe+LR (OED),19,0.874979
5,Probe+LR (OED),0,0.895638
5,Probe+LR (OED),1,0.886542
5,Probe+LR (OED),2,0.906797
5,Probe+LR (OED),3,0.880275
5,Probe+LR (OED),4,0.899213
5,Probe+LR (OED),5,0.874042
5,Probe+LR (OED),6,0.877734
5,Probe+LR (OED),7,0.898066
5,Probe+LR (OED),8,0.862105
5,Probe+LR (OED),9,0.879386
5,Probe+LR (OED),10,0.906168
5,Probe+LR (OED),11,0.869139
5,Probe+LR (OED),12,0.847016
5,Probe+LR (OED),13,0.894155
5,Probe+LR (OED),14,0.861629
5,Probe+LR (OED),15,0.883176
5,Probe+LR (OED),16,0.916492
5,Probe+LR (OED),17,0.887437
5,Probe+LR (OED),18,0.897535
5,Probe+LR (OED),19,0.897454
6,Probe+LR (OED),0,0.929198
6,Probe+LR (OED),1,0.910902
6,Probe+LR (OED),2,0.907920
6,Probe+LR (OED),3,0.920869
6,Probe+LR (OED),4,0.887250
6,Probe+LR (OED),5,0.925103
6,Probe+LR (OED),6,0.904038
6,Probe+LR (OED),7,0.889717
6,Probe+LR (OED),8,0.902013
6,Probe+LR (OED),9,0.895664
6,Probe+LR (OED),10,0.915026
6,Probe+LR (OED),11,0.934571
6,Probe+LR (OED),12,0.922956
6,Probe+LR (OED),13,0.897624
6,Probe+LR (OED),14,0.888569
6,Probe+LR (OED),15,0.934778
6,Probe+LR (OED),16,0.896821
6,Probe+LR (OED),17,0.913930
6,Probe+LR (OED),18,0.889739
6,Probe+LR (OED),19,0.933310
8,Probe+LR (OED),0,0.908943
8,Probe+LR (OED),1,0.931147
8,Probe+LR (OED),2,0.945904
8,Probe+LR (OED),3,0.895497
8,Probe+LR (OED),4,0.915857
8,Probe+LR (OED),5,0.938758
8,Probe+LR (OED),6,0.935995
8,Probe+LR (OED),7,0.917793
8,Probe+LR (OED),8,0.919725
8,Probe+LR (OED),9,0.905984
8,Probe+LR (OED),10,0.938787
8,Probe+LR (OED),11,0.918301
8,Probe+LR (OED),12,0.942681
8,Probe+LR (OED),13,0.912028
8,Probe+LR (OED),14,0.928699
8,Probe+LR (OED),15,0.950777
8,Probe+LR (OED),16,0.929770
8,Probe+LR (OED),17,0.921018
8,Probe+LR (OED),18,0.924323
8,Probe+LR (OED),19,0.918012
10,Probe+LR (OED),0,0.933644
10,Probe+LR (OED),1,0.928627
10,Probe+LR (OED),2,0.926236
10,Probe+LR (OED),3,0.924564
10,Probe+LR (OED),4,0.916859
10,Probe+LR (OED),5,0.961482
10,Probe+LR (OED),6,0.928949
10,Probe+LR (OED),7,0.940294
10,Probe+LR (OED),8,0.933419
10,Probe+LR (OED),9,0.959766
10,Probe+LR (OED),10,0.931102
10,Probe+LR (OED),11,0.934318
10,Probe+LR (OED),12,0.930884
10,Probe+LR (OED),13,0.966495
10,Probe+LR (OED),14,0.930253
10,Probe+LR (OED),15,0.932284
10,Probe+LR (OED),16,0.951562
10,Probe+LR (OED),17,0.949369
10,Probe+LR (OED),18,0.917455
10,Probe+LR (OED),19,0.922435
12,Probe+LR (OED),0,0.907612
12,Probe+LR (OED),1,0.938330
12,Probe+LR (OED),2,0.949010
12,Probe+LR (OED),3,0.922452
12,Probe+LR (OED),4,0.962545
12,Probe+LR (OED),5,0.955670
12,Probe+LR (OED),6,0.945301
12,Probe+LR (OED),7,0.944016
12,Probe+LR (OED),8,0.945260
12,Probe+LR (OED),9,0.934188
12,Probe+LR (OED),10,0.959967
12,Probe+LR (OED),11,0.919666
12,Probe+LR (OED),12,0.931445
12,Probe+LR (OED),13,0.954011
12,Probe+LR (OED),14,0.942816
12,Probe+LR (OED),15,0.932471
12,Probe+LR (OED),16,0.960517
12,Probe+LR (OED),17,0.918081
12,Probe+LR (OED),18,0.952415
12,Probe+LR (OED),19,0.944227
