n,method,seed,id_error
12,Random probes,19,0.052442
0,OED probes,0,0.503216
0,OED probes,1,0.488897
0,OED probes,2,0.469639
0,OED probes,3,0.501858
0,OED probes,4,0.437544
0,OED probes,5,0.510688
0,OED probes,6,0.459682
0,OED probes,7,0.512406
0,OED probes,8,0.489200
0,OED probes,9,0.469350
0,OED probes,10,0.540714
0,OED probes,11,0.497781
0,OED probes,12,0.522908
0,OED probes,13,0.495172
0,OED probes,14,0.545576
0,OED probes,15,0.518541
0,OED probes,16,0.515190
0,OED probes,17,0.512949
0,OED probes,18,0.448252
0,OED probes,19,0.480438
1,OED probes,0,0.349607
1,OED probes,1,0.307546
1,OED probes,2,0.356225
1,OED probes,3,0.278516
1,OED probes,4,0.384230
1,OED probes,5,0.364434
1,OED probes,6,0.323523
1,OED probes,7,0.331038
1,OED probes,8,0.321442
1,OED probes,9,0.300375
1,OED probes,10,0.321196
1,OED probes,11,0.343845
1,OED probes,12,0.324985
1,OED probes,13,0.321654
1,OED probes,14,0.362726
1,OED probes,15,0.287567
1,OED probes,16,0.312197
1,OED probes,17,0.333495
1,OED probes,18,0.346926
1,OED probes,19,0.348473
2,OED probes,0,0.244756
2,OED probes,1,0.225903
2,OED probes,2,0.214925
2,OED probes,3,0.207268
2,OED probes,4,0.258235
2,OED probes,5,0.255723
2,OED probes,6,0.267866
2,OED probes,7,0.257774
2,OED probes,8,0.260904
2,OED probes,9,0.248605
2,OED probes,10,0.219065
2,OED probes,11,0.305635
2,OED probes,12,0.228152
2,OED probes,13,0.246803
2,OED probes,14,0.261730
2,OED probes,15,0.269768
2,OED probes,16,0.232446
2,OED probes,17,0.236210
2,OED probes,18,0.227595
2,OED probes,19,0.270639
3,OED probes,0,0.186407
3,OED probes,1,0.136000
3,OED probes,2,0.135844
3,OED probes,3,0.142049
3,OED probes,4,0.179113
3,OED probes,5,0.169754
3,OED probes,6,0.160454
3,OED probes,7,0.191815
3,OED probes,8,0.182779
3,OED probes,9,0.149579
3,OED probes,10,0.173171
3,OED probes,11,0.177464
3,OED probes,12,0.184485
3,OED probes,13,0.163581
3,OED probes,14,0.148643
3,OED probes,15,0.200759
3,OED probes,16,0.177265
3,OED probes,17,0.168453
3,OED probes,18,0.149989
3,OED probes,19,0.142398
4,OED probes,0,0.126774
4,OED probes,1,0.134386
4,OED probes,2,0.104468
4,OED probes,3,0.091398
4,OED probes,4,0.112945
4,OED probes,5,0.075162
4,OED probes,6,0.098188
4,OED probes,7,0.136730
4,OED probes,8,0.113533
4,OED probes,9,0.111703
4,OED probes,10,0.096227
4,OED probes,11,0.084736
4,OED probes,12,0.082045
